,state,Population2020,CrimeReported,CrimeRate,CrimeViolent,CrimeViolentRate,CrimeNonViolent,CrimeNonViolentRate,deathRatePer100k2021,GunViolenceTotalDeaths2021,GunViolenceTotalDeaths2020,deathRatePer100k,DomesticViolenceAgainstWomen,DomesticViolenceAgainstMen,PovertyRatesPopulationBelowPovertyLevel,PovertyRatesPercentOfPopulationBelowPovertyLevel,LiteracyRatesPercofPopulationWithLowLiteracy,LiteracyRatesPercof4thGradersBelowBasicReadingLevel,College,HighSchool
39,Rhode Island,1057125.0,4931.0,2721.722,2440.0,230.815,26332.0,2490.907,5.828344331297663,64.0,54.0,4.917665529532403,32.6,25.4,120055.0,11.4,20.4,38.0,35.0,89.2
40,South Carolina,5218040.0,33133.0,5972.837,27691.0,530.678,283974.0,5442.158,20.790039814024308,1136.0,1131.0,20.698534357096385,42.3,29.2,741652.0,14.6,22.4,39.0,29.0,88.3
41,South Dakota,892717.0,8389.0,4414.837,4476.0,501.391,34936.0,3913.446,13.781712743885173,128.0,120.0,12.920355697392347,33.7,30.2,106548.0,12.3,14.9,35.0,29.3,92.2
42,Tennessee,6886834.0,51314.0,5658.304,46328.0,672.704,343350.0,4985.6,21.7795608607549,1569.0,1473.0,20.446968226827256,39.6,36.8,927587.0,13.6,21.7,41.0,28.2,88.2
43,Texas,29360759.0,135574.0,4936.535,131084.0,446.46,1318320.0,4490.075,14.89181209884031,4613.0,4164.0,13.44233808358358,40.1,34.9,4122538.0,14.2,28.2,42.0,30.7,84.4
44,Utah,3249879.0,13400.0,5189.516,8471.0,260.656,160182.0,4928.86,13.02749786349035,450.0,429.0,12.419547963194132,33.6,21.4,281673.0,8.6,14.5,33.0,34.7,93.0
45,Vermont,623347.0,3515.0,2607.376,1081.0,173.419,15172.0,2433.957,12.81224047494821,83.0,76.0,11.731690073446554,39.2,30.9,63720.0,10.3,12.8,38.0,39.7,93.5
46,Virginia,8590563.0,20838.0,3121.483,17925.0,208.659,250228.0,2912.824,14.259113921751055,1248.0,1174.0,13.413621589852356,33.6,28.6,854145.0,10.2,18.8,40.0,39.5,90.3
47,Washington,7693612.0,28061.0,5758.57,22596.0,293.698,420446.0,5464.871,11.426701472195305,896.0,864.0,11.018604991045471,41.4,31.7,754315.0,9.9,16.1,39.0,36.7,91.7
48,West Virginia,1784787.0,9151.0,3154.662,6352.0,355.897,49952.0,2798.765,18.062325782073227,319.0,325.0,18.402056047566766,39.4,36.3,291930.0,16.8,20.9,48.0,21.3,87.6
49,Wisconsin,5832655.0,21832.0,3294.709,18861.0,323.369,173308.0,2971.34,13.36959928461685,793.0,717.0,12.088275771841468,36.3,32.1,621125.0,10.8,15.3,37.0,30.8,92.6
50,Wyoming,582328.0,4585.0,3455.441,1364.0,234.232,18758.0,3221.209,26.428638413599664,155.0,154.0,26.2581310689958,33.9,30.5,64224.0,11.4,13.6,29.0,28.2,93.6
51,United States,,,,,,,,14.483222542114513,745.5,695.0,13.41436101623948,37.29122994112116,30.935258881491112,,,,,32.849886372016314,88.51203704751622
